videoId,title,description,publishedAt,URL,summary,year,question_number,hashtag
y68AgjTYa9Q,お茶の水大学数学科R6編入試験問題1解答解説,お茶の水大学数学科R6編入試験問題 2の解答解説です。線形代数基底、部分空間、ベクトルの一次独立などの基本的な問題です。#お茶の水大学#編入 #編入試験#過去問 過去問 #数学科#数学 #基底 基底#一次独立　#部分空間,2025/03/30,https://studio.youtube.com/video/y68AgjTYa9Q/edit,線形代数の基礎概念（基底、部分空間、一次独立性）を問う問題の解説。,R6,問題1,"['お茶の水大学', '基底', '一次独立', '部分空間']"
PTqK7rr_u98,京都工芸繊維大学R7編入試験数学問題1解答解説,京都工芸繊維大学R7編入試験数学から問題1の解答解説です。2次のハミルトンケーリーの定理を導いて、それを使って証明をする問題#編入 編入 #大学編入 大学編入#過去問 過去問#京都工芸繊維大学#工芸繊維大#ハミルトンケーリーの定理#余因子行列#行列式 行列式#トレース トレース,2025/03/20,https://studio.youtube.com/video/PTqK7rr_u98/edit,2次正方行列に対し、固有方程式と行列の性質を利用した証明問題を解説。,R7,問題1,"['ハミルトンケーリーの定理', '余因子行列', '行列式', 'トレース']"
VKhlAubGtsM,信州大学工学部 R7編入試験問題2解答解説 take 2,信州大学工学部 R7編入試験から問題2の解答解説です。積分の計算２題です。(1)置換積分の後、部分積分で計算します(2)重積分、極座標変換すると(1)と同様の計算になります#信州大学 #工学部 #編入試験 　#編入 #数学 #積分 積分 #置換積分 #部分積分#重積分 #極座標変換,2025/03/12,https://studio.youtube.com/video/VKhlAubGtsM/edit,積分計算問題２題：置換・部分積分と、極座標変換を用いた重積分を解説。,R7,問題2,"['積分', '置換積分', '部分積分', '重積分', '極座標変換']"
bODNtzEmMfc,岡山大学数学科2023年編入試験問題4解答解説,岡山大学数学科2023年編入試験問題から4番の解答解説です。リプシッツ連続が一様連続より強い概念であることの証明とその具体例の問題です。数学科らしい問題ですね。#岡山大学 岡山大学#編入試験 　#編入 #数学 #リプシッツ#一様連続,2025/03/04,https://studio.youtube.com/video/bODNtzEmMfc/edit,ある連続性が、別の連続性より厳しい条件であることの証明と例。,R5,問題4,"['リプシッツ', '一様連続']"
C55JoRNJtWc,岡山大学数学科2023年編入試験問題3解答解説,岡山大学数学科2023年編入試験問題から3番の解答解説です。定積分の等式の証明と、それを使った計算です。(2)の式は(1)が使えることに気づけば簡単。#岡山大学 岡山大学#編入試験 　#編入 #数学 #積分 積分 #置換積分 置換積分,2025/02/18,https://studio.youtube.com/video/C55JoRNJtWc/edit,定積分の等式証明と、それを利用した積分計算の解法。,R5,問題3,"['積分', '置換積分']"
69mb3CgRrCI,岡山大学数学科2023年編入試験問題1解答解説,岡山大学数学科2023年編入試験問題から1番の解答解説です。4次正方行列の固有値、固有空間の基底、対角化可能性を調べる問題です。4次正方行列の行列式の計算は、思ったより楽でした。#岡山大学 岡山大学#編入試験 　#編入 #数学 #固有値 固有値#固有ベクトル 固有ベクトル#固有空間#対角化可能性,2025/02/18,https://studio.youtube.com/video/69mb3CgRrCI/edit,4次正方行列の固有値、固有空間、対角化可能性を求める問題の解説。,R5,問題1,"['固有値', '固有ベクトル', '固有空間', '対角化可能性']"
VKhlAubGtsM,信州大学工学部 R7編入試験問題2解答解説 take 2,信州大学工学部 R7編入試験から問題2の解答解説です。積分の計算２題です。(1)置換積分の後、部分積分で計算します(2)重積分、極座標変換すると(1)と同様の計算になります#信州大学 #工学部 #編入試験 　#編入 #数学 #積分 積分 #置換積分 #部分積分#重積分 #極座標変換,2025/03/12,https://studio.youtube.com/video/VKhlAubGtsM/edit,積分計算２題：置換・部分積分と、極座標変換を用いた重積分を解説。,R7,問題2,"['積分', '置換積分', '部分積分', '重積分', '極座標変換']"
po_wlnf51DE,信州大学工学部 R7編入試験問題1解答解説,信州大学工学部 R7編入試験から問題1の解答解説です。極限の計算３題です。(1)(2) はロピタルの定理を使います(3) 2変数関数の極限で、異なる値を取る経路を探すところがポイント#信州大学 #工学部 #編入試験 　#編入 #数学 #極限#ロピタルの定理,2025/03/10,https://studio.youtube.com/video/po_wlnf51DE/edit,極限値を求める問題で、関数の形に応じて解法を使い分けます。,R7,問題1,"['極限', 'ロピタルの定理']"
bODNtzEmMfc,岡山大学数学科2023年編入試験問題4解答解説,岡山大学数学科2023年編入試験問題から4番の解答解説です。リプシッツ連続が一様連続より強い概念であることの証明とその具体例の問題です。数学科らしい問題ですね。#岡山大学 岡山大学#編入試験 　#編入 #数学 #リプシッツ#一様連続,2025/03/04,https://studio.youtube.com/video/bODNtzEmMfc/edit,ある連続性が、別の連続性より強い理由と例を示す問題。,R5,問題4,"['リプシッツ', '一様連続']"
O-MjHr9wStA,岡山大学数学科2023年編入試験問題2解答解説,岡山大学数学科2023年編入試験問題から2番の解答解説です。4次正方行列のランク、行列で定義される線形変換の核の基底、核の基底が変換で不変になるための条件を求める問題#岡山大学 岡山大学#編入試験 　#編入 #数学 #行列 #ランク #階数#核 #基底 #像 #不変空間,2025/02/26,https://studio.youtube.com/video/O-MjHr9wStA/edit,4次正方行列に関する線形変換で、像の次元や不変な部分空間を求める問題。,R5,問題2,"['行列', 'ランク', '階数', '核', '基底', '像', '不変空間']"
C55JoRNJtWc,岡山大学数学科2023年編入試験問題3解答解説,岡山大学数学科2023年編入試験問題から3番の解答解説です。定積分の等式の証明と、それを使った計算です。(2)の式は(1)が使えることに気づけば簡単。#岡山大学 岡山大学#編入試験 　#編入 #数学 #積分 積分 #置換積分 置換積分,2025/02/18,https://studio.youtube.com/video/C55JoRNJtWc/edit,定積分の式を示し、それを利用して別の定積分を計算する問題。,R5,問題3,"['積分', '置換積分']"
69mb3CgRrCI,岡山大学数学科2023年編入試験問題1解答解説,岡山大学数学科2023年編入試験問題から1番の解答解説です。4次正方行列の固有値、固有空間の基底、対角化可能性を調べる問題です。4次正方行列の行列式の計算は、思ったより楽でした。#岡山大学 岡山大学#編入試験 　#編入 #数学 #固有値 固有値#固有ベクトル 固有ベクトル#固有空間#対角化可能性,2025/02/18,https://studio.youtube.com/video/69mb3CgRrCI/edit,4次正方行列の特性を調べ、より扱いやすい形に変形できるか検討します。,R5,問題1,"['固有値', '固有ベクトル', '固有空間', '対角化可能性']"
9DyH3hbfXZI,【編入試験】岡山大学数学科 2023-3,https://www.science.okayama-u.ac.jp/admission/2023_admission3_math.pdf,2025/02/17,https://studio.youtube.com/video/9DyH3hbfXZI/edit,空間図形の体積を求める問題の解説。,R5,問題3,[]
AMLqiyMkPLk,【編入試験】岡山大学数学科 2023 3番,https://www.science.okayama-u.ac.jp/admission/2023_admission3_math.pdf,2025/02/17,https://studio.youtube.com/video/AMLqiyMkPLk/edit,図形と数列が絡む、少し難しい計算問題の解き方。,R5,不明,[]
SsdBiMj_a-4,【はじめて学ぶベクトル空間】#9 直交行列の応用,#9 直交行列の応用直交行列を使って、点の座標を求める、図形の方程式を求める、という２つの計算をします。-----------------------------------------------------------------「はじめて学ぶベクトル空間」大日本図書↓を教科書として解説して行きます。本の構成に従って作っていきます。https://www.dainippon-tosho.co.jp/college_math/vector.html　「これならわかる！」という動画を目指します。編入試験で、空間論（核、像、基底、部分空間など）が必要な人、大学でこの辺りの授業があるけど、よくわからない人、参考にしていただけると幸いです。#線形代数 #数学 #ベクトル空間#数ベクトル空間#基底#直交#正規直交基底 #直交行列 直交行列,2025/02/16,https://studio.youtube.com/video/SsdBiMj_a-4/edit,行列を用いて、点の位置や図形表現を変換する計算を解説。,不明,不明,"['9', '線形代数', 'ベクトル空間', '数ベクトル空間', '基底', '直交', '正規直交基底', '直交行列']"
FPou20zhIWw,筑波大学応用理工学類R7編入試験数学 2-1解答解説,筑波大学応用理工学類R7編入試験数学 問題2-1の解答解説です。連立一次方程式の解の状態と、係数行列のランクの関係の問題です。#筑波大学 #編入#数学#過去問#連立一次方程式#係数行列#拡大係数行列#ランク,2025/02/09,https://studio.youtube.com/video/FPou20zhIWw/edit,連立一次方程式の解の有無を、行列の階数を使って判定します。,R7,問題1,"['連立一次方程式', '係数行列', '拡大係数行列', 'ランク']"
BAq7eBWB9l0,筑波大学応用理工学類R7編入試験数学 2-2解答解説,筑波大学応用理工学類R7編入試験数学 問題2-2の解答解説です。回転行列の固有値、固有ベクトルを求めてn乗の計算をします。最後の答えは、nθ回転の行列になるということがわかっているので自信を持って回答できると思います。#筑波大学 #編入#数学#過去問#表現行列 表現行列#回転行列#固有値 固有値#固有ベクトル 固有ベクトル#n乗,2025/02/02,https://studio.youtube.com/video/BAq7eBWB9l0/edit,回転を表す行列について、繰り返し計算でどう変化するかを解きます。,R7,問題2,"['表現行列', '回転行列', '固有値', '固有ベクトル', 'n乗']"
vgecBp_ByIQ,筑波大学応用理工学類R7編入試験数学 1-1解答解説,筑波大学応用理工学類R7編入試験数学 問題1-1の解答解説です。微積４題(1) 有理関数の不定積分、部分分数分解(2) カテナリーの長さ(3) 二重積分(4) 接平面どれも基本的な問題です。曲線の長さについては下記を参考にしてください。広島大学 R5-1(2)https://youtu.be/IKAYonoigDI接平面については以下の動画を参考にしてください。https://youtu.be/jouueZhtXwg電通大 R5-3https://www.youtube.com/watch?v=jouueZhtXwg&t=75s電通2023-3https://www.youtube.com/watch?v=sBldLF9DZkQ&t=30s筑波応用理工 H31-1B#筑波大学 #編入#数学#過去問#不定積分 不定積分#部分分数分解 部分分数分解#曲線の長さ#二重積分#接平面接平面の別説明,2025/01/30,https://studio.youtube.com/video/vgecBp_ByIQ/edit,複数の計算問題（積分、曲線、平面）の解法を解説。,R7,問題1,"['不定積分', '部分分数分解', '曲線の長さ', '二重積分', '接平面接平面の別説明']"
94slCFL6Yjk,奈良女子大数学コースR7編入学試験A1解答解説,奈良女子大数学コースR7編入学試験から問題A1解答解説です。線型写像の像空間の次元と、像空間に含まれるための条件を求める問題です。線型写像の像、核の次元と規定については京都大学R1-3を参考にしてください。https://youtu.be/5BG4YYYiovc#奈良女子大学#編入 #編入試験#過去問 過去問 #数学コース#数学 #部分分数分解#有理関数の積分#無限積分https://youtu.be/5BG4YYYiovc,2025/01/27,https://studio.youtube.com/video/94slCFL6Yjk/edit,写像による像の広がり具合と、像に入るための条件を解説。,R7,不明,"['奈良女子大学', '数学コース', '部分分数分解', '有理関数の積分', '無限積分https']"
LWxN1rU9Zd0,大阪大学基礎工学部R3編入試験問題2解答解説,大阪大学基礎工学部R3編入試験問題から数学2の解答解説です。きた！鉄板問題。(1)実対称行列を直交行列で対角化(2)実対称行列の異なる固有値に対する固有ベクトルは直交することの証明もう何度も解いた問題。頻出なので必ずできるようにしてください。#編入試験 #編入 #大阪大学 大阪大学#基礎工学部 工学部#数学 数学#実対称行列#固有値 #固有ベクトル 固有ベクトル#対角化#直交行列 直交行列,2025/01/09,https://studio.youtube.com/video/LWxN1rU9Zd0/edit,対称な数字の並びを扱い、性質の証明や変形を行う問題の解説。,R3,問題2,"['基礎工学部', '実対称行列', '固有値', '固有ベクトル', '対角化', '直交行列']"
qbfhevsZ-0o,【はじめて学ぶベクトル空間】#8直交行列,#8 直交行列後に重要な役割をする行列です。定義と性質をしっかり覚えましょう。-----------------------------------------------------------------「はじめて学ぶベクトル空間」大日本図書↓を教科書として解説して行きます。本の構成に従って作っていきます。https://www.dainippon-tosho.co.jp/college_math/vector.html　「これならわかる！」という動画を目指します。編入試験で、空間論（核、像、基底、部分空間など）が必要な人、大学でこの辺りの授業があるけど、よくわからない人、参考にしていただけると幸いです。#線形代数 #数学 #ベクトル空間#数ベクトル空間#基底#直交#正規直交基底 #直交行列 直交行列,2024/12/27,https://studio.youtube.com/video/qbfhevsZ-0o/edit,ある行列の定義と性質を解説。空間論やベクトル空間の理解を深めます。,不明,不明,"['8', '線形代数', 'ベクトル空間', '数ベクトル空間', '基底', '直交', '正規直交基底', '直交行列']"
gPulJnwGBMY,お茶の水大学数学科R6編入試験問題2解答解説,お茶の水大学数学科R6編入試験問題2解答解説です。微積の問題、３題です。(1) 級数の収束判定(2) 近似値の誤差の評価(3) 無限積分の収束判定1変数の微積の問題です。難易度はそれほど高くないですが、数学科らしい細かいところを問われています。#お茶の水大学#編入 #編入試験#過去問 過去問 #数学科#数学 #級数 #ダランベールの判定法#テイラーの定理 #マクローリン展開 #近似値#誤差 #無限積分 無限積分#収束 収束 #発散 発散,2024/12/27,https://studio.youtube.com/video/gPulJnwGBMY/edit,大学編入試験の微積分問題。級数の収束や近似の誤差、積分の収束を判定します。,R6,問題2,"['お茶の水大学', '級数', 'ダランベールの判定法', 'テイラーの定理', 'マクローリン展開', '近似値', '誤差', '無限積分', '収束', '発散']"
_3ZwxkMzAeM,大阪大学基礎工学部R3編入試験問題1解答解説,大阪大学基礎工学部R3編入試験問題から数学1の解答解説です。1変数関数と2変数関数の合成関数の偏微分の問題。整理していくと、微分方程式になります。2変数関数の合成関数の偏微分についての動画、作成してなかった！近いうちに作ります！#編入試験 #編入 #大阪大学 大阪大学#基礎工学部 工学部#数学 数学#2変数関数#偏微分#微分方程式 微分方程式,2024/12/12,https://studio.youtube.com/video/_3ZwxkMzAeM/edit,合成関数の偏微分から、微分方程式を導く問題の解説。,R3,問題1,"['基礎工学部', '2変数関数', '偏微分', '微分方程式']"
0mjsgXD8Rlk,大阪大学基礎工学部2023編入試験問題1解答解説,大阪大学基礎工学部2023編入試験問題から数学1の解答解説です。全微分から接線、接平面を求める問題です。接平面については↓も参考にしてください。https://youtu.be/jouueZhtXwghttps://youtu.be/nM6wJyLXbDs#編入試験 #編入 #大阪大学 大阪大学#基礎工学部 工学部#数学 数学#全微分 #接線 #接平面#恒等式,2024/12/07,https://studio.youtube.com/video/0mjsgXD8Rlk/edit,ある関数の、ある点における接線と接平面を求める問題の解説。,R5,問題1,"['基礎工学部', '全微分', '接線', '接平面', '恒等式']"
qRdGwVsTuuw,大阪大学基礎工学部2023編入試験問題2解答解説,大阪大学基礎工学部2023編入試験問題から数学2の解答解説です。直交射影変換の表現行列を求め、その性質の証明と固有値・固有ベクトルを求めます。射影の性質をうまく使えると楽ですが、素朴な方法でも求められます。解答は両方やってみました。#編入試験 #編入 #大阪大学 大阪大学#基礎工学部 工学部#数学 数学#線形変換 #射影 射影#表現行列 表現行列#固有値 固有値#固有ベクトル 固有ベクトル,2024/12/05,https://studio.youtube.com/video/qRdGwVsTuuw/edit,空間への正射影を表す行列を求め、その特徴や向きを調べます。,R5,問題2,"['基礎工学部', '線形変換', '射影', '表現行列', '固有値', '固有ベクトル']"
uKo7GU7D2I0,大阪大学基礎工学部2023編入試験問題3解答解説,大阪大学基礎工学部2023編入試験問題　から数学3の解答解説です。(1)-(3)は幾何分布の基本的な問題。(4)はエントロピー最大の分布を求める問題です。(4)の最後に(1)-(3)が使えるあたりが面白い。　工学部の問題より、私の好みです。#編入試験 #編入 #大阪大学 大阪大学#基礎工学部 工学部#数学 数学#確率機 確率＃確率分布＃平均＃幾何分布＃エントロピー＃最大値,2024/12/02,https://studio.youtube.com/video/uKo7GU7D2I0/edit,ある確率分布について、平均やエントロピーを求める問題の解説です。,R5,問題3,"['基礎工学部', '確率機']"
